S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at 25°C),CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),TDS (mg/L),WQI,Hardness_Category,Unsafe_pH,Unsafe_EC,Unsafe_CO3,Unsafe_HCO3,Unsafe_Cl,Unsafe_F,Unsafe_SO4,Unsafe_NO3,Unsafe_Overall,Water_Safety,Water_Safety_Label
1,Andaman & Nicobar Islands,North & Middle Andaman,Bakultala,92.8577,12.5043,2023,7.96,395.0,0.0,171.0,14.0,0.18,28.0,8.0,160.0,12.0,32.0,18.0,5.0,252.8,57.303333333333335,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
2,Andaman & Nicobar Islands,North & Middle Andaman,Baratang (Nilambur),92.767,12.1683,2023,8.19,473.0,0.0,31.0,96.0,0.0,50.0,10.0,135.0,26.0,17.0,39.0,5.0,302.72,49.306666666666665,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
3,Andaman & Nicobar Islands,North & Middle Andaman,Basantipur,92.8737,12.7579,2023,8.19,556.0,0.0,220.0,28.0,0.0,51.0,1.0,230.0,38.0,33.0,22.0,1.0,355.84000000000003,81.25,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
4,Andaman & Nicobar Islands,North & Middle Andaman,Betapur,92.9434,12.6191,2023,8.07,487.0,0.0,214.0,57.0,0.16,0.0,2.0,95.0,18.0,12.0,68.0,8.0,311.68,35.98,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
5,Andaman & Nicobar Islands,North & Middle Andaman,Dhobidera (Mayabunder),92.8992,12.9099,2023,8.02,567.0,0.0,232.0,39.0,0.13,29.0,11.0,230.0,28.0,39.0,31.0,1.0,362.88,81.23,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
6,Andaman & Nicobar Islands,North & Middle Andaman,Durgapur,93.0236,13.2765,2023,8.2,526.0,0.0,232.0,25.0,0.38,28.0,0.0,160.0,34.0,18.0,43.0,1.0,336.64,57.82,Hard,False,False,False,False,False,False,False,False,False,Safe,0
7,Andaman & Nicobar Islands,North & Middle Andaman,Haribay,92.8442,13.0023,2023,8.15,233.0,0.0,92.0,25.0,0.0,12.0,3.0,70.0,24.0,2.0,25.0,1.0,149.12,26.826666666666668,Soft,False,False,False,False,False,False,False,False,False,Safe,0
8,Andaman & Nicobar Islands,North & Middle Andaman,Joypur,92.8809,12.6982,2023,8.13,457.0,0.0,201.0,32.0,0.12,26.0,1.0,220.0,14.0,45.0,12.0,0.0,292.48,77.56666666666666,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
9,Andaman & Nicobar Islands,North & Middle Andaman,Kadamtala,92.775,12.3488,2023,8.09,413.0,0.0,214.0,25.0,0.0,8.0,2.0,180.0,34.0,23.0,13.0,1.0,264.32,64.07333333333334,Hard,False,False,False,False,False,False,False,False,False,Safe,0
10,Andaman & Nicobar Islands,North & Middle Andaman,Kausalyanagar,92.8189,12.5284,2023,8.08,276.0,0.0,122.0,21.0,0.0,13.0,4.0,95.0,24.0,9.0,23.0,3.0,176.64000000000001,35.28,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
11,Andaman & Nicobar Islands,North & Middle Andaman,Keralapuram,93.0135,13.2588,2023,8.18,271.0,0.0,98.0,28.0,0.0,15.0,2.0,105.0,8.0,21.0,15.0,2.0,173.44,38.63,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
12,Andaman & Nicobar Islands,North & Middle Andaman,Kishorinagar (Parangara),92.8839,13.163,2023,8.25,72.0,0.0,31.0,7.0,0.03,1.0,1.0,30.0,6.0,4.0,3.0,1.0,46.08,12.99,Soft,False,False,False,False,False,False,False,False,False,Safe,0
13,Andaman & Nicobar Islands,North & Middle Andaman,Laxmipur,92.964,13.2873,2023,8.12,1081.0,0.0,98.0,163.0,0.69,186.0,0.0,255.0,12.0,55.0,113.0,5.0,691.84,91.31,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
14,Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.9248,12.3653,2023,8.14,315.0,0.0,128.0,28.0,0.0,12.0,2.0,130.0,32.0,12.0,11.0,4.0,201.6,47.096666666666664,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
15,Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.9237,12.3644,2023,8.15,353.0,0.0,159.0,14.0,0.0,30.0,0.0,165.0,12.0,33.0,9.0,0.0,225.92000000000002,58.89333333333334,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
16,Andaman & Nicobar Islands,North & Middle Andaman,Long Island (Forest Area),92.9231,12.3667,2023,8.17,628.0,0.0,342.0,28.0,0.0,10.0,3.0,320.0,14.0,69.0,7.0,3.0,401.92,111.48333333333333,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
17,Andaman & Nicobar Islands,North & Middle Andaman,Long Island (Sec. School),92.9176,12.3671,2023,8.13,342.0,0.0,177.0,18.0,0.03,7.0,0.0,140.0,24.0,19.0,12.0,0.0,218.88,50.51666666666667,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
18,Andaman & Nicobar Islands,North & Middle Andaman,Milangram,92.9431,13.3148,2023,8.16,247.0,0.0,79.0,39.0,0.02,11.0,1.0,80.0,14.0,11.0,20.0,2.0,158.08,30.209999999999997,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
19,Andaman & Nicobar Islands,North & Middle Andaman,Mohanpur,92.8357,12.9546,2023,7.91,416.0,0.0,201.0,21.0,0.11,2.0,20.0,190.0,34.0,26.0,13.0,3.0,266.24,67.35666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
20,Andaman & Nicobar Islands,North & Middle Andaman,Nabagram,92.9491,13.1555,2023,8.21,298.0,0.0,116.0,35.0,0.0,0.0,2.0,95.0,24.0,9.0,25.0,1.0,190.72,35.39666666666667,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
21,Andaman & Nicobar Islands,North & Middle Andaman,Nimbutala,92.9542,12.4946,2023,8.01,427.0,0.0,195.0,35.0,0.42,13.0,11.0,200.0,16.0,39.0,11.0,3.0,273.28000000000003,70.76,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
22,Andaman & Nicobar Islands,North & Middle Andaman,Padmanavapuram,92.9493,12.6063,2023,7.91,294.0,0.0,98.0,21.0,0.27,25.0,26.0,70.0,26.0,1.0,37.0,1.0,188.16,26.95,Soft,False,False,False,False,False,False,False,False,False,Safe,0
23,Andaman & Nicobar Islands,North & Middle Andaman,Pahalgaon,92.8532,12.8393,2023,8.03,405.0,0.0,183.0,35.0,0.11,11.0,6.0,190.0,12.0,39.0,12.0,1.0,259.2,67.36,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
